Label	Weight	Text
l_HotelBot	1	nothing meaningfull said
l_HotelBot	1	stop
l_HotelBot	1	help me
l_HotelBot	1	can we call
l_HotelBot	1	can i change my leaving date
l_HotelBot	1	cancel
l_HotelBot	1	update my email to bla@test.com
l_HotelBot	1	can i call you
l_HotelBot	1	call you
l_HotelBot	1	hello
l_HotelBot	1	i want to arrive tomorrow instead
l_HotelBot	1	i want to come next week instead
l_HotelBot	1	update arrival please
l_HotelBot	1	where can i find your number
l_HotelBot	1	can i call the hotel
l_HotelBot	1	a random sentence
l_HotelBot	1	this is nothing special
l_HotelBot	1	change the number of people to six
l_HotelBot	1	update my leaving date to the 4th please
l_HotelBot	1	what can i ask you
l_HotelBot	1	i want to get a room for myself and my partner for tomorrow
l_HotelBot	1	i want to call the hotel
l_HotelBot	1	how can we find you
l_HotelBot	1	what is your address
l_HotelBot	1	how late can i arrive tomorrow
l_HotelBot	1	cancel this booking
l_HotelBot	1	i need help
l_HotelBot	1	i want to leave tomorrow
l_HotelBot	1	change my arrivaldate to 25/02/2019
l_HotelBot	1	what's your address
l_HotelBot	1	i want a room for six instead
l_HotelBot	1	can we call the hotel
l_HotelBot	1	change leaving date to next friday
l_HotelBot	1	can i change when i will arrive
l_HotelBot	1	i want to leave next week instead
l_HotelBot	1	i need a room for five instead
l_HotelBot	1	where is the bed and breakfast
l_HotelBot	1	i want to change when i arrive
l_HotelBot	1	change my email to anothertesting@gmail.com
l_HotelBot	1	update when i leave to another time
l_HotelBot	1	help
l_HotelBot	1	could i get a room for next week
l_HotelBot	1	i want to get a room for next week
l_HotelBot	1	where is the hotel
l_HotelBot	1	update when i leave to 26 march
l_HotelBot	1	update the room to two people please
l_HotelBot	1	update my arriving date
l_HotelBot	1	i want to book a room for next week
l_HotelBot	1	can i book another room for myself next week
l_HotelBot	1	hi
l_HotelBot	1	i want to change my arrivaldate
l_HotelBot	1	could you change my email to another one
l_HotelBot	1	stop doing this
l_HotelBot	1	i want to call reception
l_HotelBot	2	whats your number
l_HotelBot	1	update the arrival date please
l_HotelBot	1	what is the location
l_HotelBot	1	i want to book a room for three tomorrow
l_HotelBot	1	change the number of people to two
l_HotelBot	1	i want to leave next week
l_HotelBot	1	i want to book a room tomorrow
l_HotelBot	1	sorry i made a mistake my email is blabla@test.com
l_HotelBot	1	change leaving date to next week
l_HotelBot	1	could i leave next week instead
l_HotelBot	1	i want to cancel
l_HotelBot	1	change the room for three please
l_HotelBot	1	cancel this
l_HotelBot	1	nice to meet you
l_HotelBot	1	i want to book a room in january for myself and my partner
l_HotelBot	1	can i update my arriving date
l_HotelBot	1	i want to call you
l_HotelBot	1	i want to book a room for two persons tonight
l_HotelBot	1	i want to call a person
l_HotelBot	1	update my leaving date
l_HotelBot	1	i mistyped my email adres it is dennistest@hotmail.com instead of the other
l_HotelBot	1	i want to book a room for myself and my partner next week.
l_HotelBot	1	i want to leave on 23/04.2019 instead
l_HotelBot	1	can you book me a room
l_HotelBot	1	update the number of people to ten
l_HotelBot	1	where in the city are you
q_2129612763787673_en	8.1	can i take my dog
q_2129612763787673_en	8.1	can i take my dog
q_2129612763787673_en	8.1	can i take my dog
q_2129612763787673_en	8.1	can i take my dog
q_2129612763787673_en	8.1	can i take my dog
q_2129612763787673_en	8.1	can i take my dog
q_2129612763787673_en	8.1	can i take my dog
q_2129612763787673_en	8.1	can i take my dog
q_2129612763787673_en	8.1	can i take my dog
q_2129612763787673_en	8.1	can i take my dog
q_2129612763787673_nl	7.363636	Zijn honden toegelaten op de kamer
q_2129612763787673_nl	7.363636	Mag ik mijn hond meenemen
q_2129612763787673_nl	7.363636	Zijn honden toegelaten
q_2129612763787673_nl	7.363636	Mogen we onze hond meenemen
q_2129612763787673_nl	7.363636	We hebben twee honden, is dat een probleem
q_2129612763787673_nl	7.363636	Zijn honden toegelaten op de kamer
q_2129612763787673_nl	7.363636	Mag ik mijn hond meenemen
q_2129612763787673_nl	7.363636	Zijn honden toegelaten
q_2129612763787673_nl	7.363636	Zijn honden toegelaten op de kamer
q_2129612763787673_nl	7.363636	Mag ik mijn hond meenemen
q_2129612763787673_nl	7.363636	Zijn honden toegelaten
